resume_text,profession
"Her research focuses bridges the anthropology of Muslim youth, feminist approaches to transnationalism and migration studies, studies of gender, and critical visuality in classrooms and in the media. She recently finished a postdoctoral fellowship in education at Harvard University's Graduate School of Education. Prior to that, she completed her joint PhD program in anthropology and education at the University of Pennsylvania in 2016. Dr. Durrani has been teaching college students since 2004 and strongly believes in providing appropriate resources and emotional support to first generation immigrant youth as they embark on their educational and professional journeys.",
"Her professional stops include the Chicago Tribune, The Denver Post, the (Arlington Heights, IL) Daily Herald, and the (Greensboro, NC) News & Record. She continues to freelance, and her work also has appeared in The Wall Street Journal, New York Times and The Colorado Springs Gazette. Tatum was elected to serve as 2006-07 national president of the Society of Professional Journalists and has been honored to teach concepts in responsible journalism around the world at the invitation of the U.S. State Department. She frequently collaborates with her husband to produce communications designed to inform the public about substance abuse and addiction.",
"She graduated summa cum laude from Binghamton University and received her medical degree from State University of New Yorkâ€“ Upstate Medical University. She completed a residency in diagnostic radiology at the University of Rochester and further trained in neuroradiology at Columbia University Medical Center-New York Presbyterian. During her subspecialty fellowship, Dr. Chan obtained advanced imaging proficiency in functional MRI, perfusion MRI, spectroscopy, and diffusion tensor imaging. She is a member of the American Board of Radiology, American Society of Neuroradiology, and American Roentgen Ray Society.",
"She graduated from Maulana Azad Medical College. She is in-network for several insurance carriers, including Blue Cross/Blue Shield, Coventry, and United Healthcare Plans. Dr. Chowdhuri (or staff) speaks the following foreign languages: Bengali and Hindi. She is professionally affiliated with DMC Detroit Receiving Hospital, Hutzel Women's Hospital, and Wayne State University Physician Group (WSUPG).",
He studied industrial engineering before working in his familyâ€™s business. He then developed his own business which he later sold to open his practice.,
"His research interests are in the field of low energy heating and cooling systems, passive building design and building integrated renewable energy systems. His current research includes modelling of advanced ground heat exchanger technologies and district heating and cooling networks. Other work has included application of HPC methods to analysis of wind energy systems and holographic data visualization. His expertise in building energy modelling has resulted in him being invited to join design teams for a number of innovative low energy buildings such as the Co-op Headquaters building at 1 Angel Square, Manchester. He has published more than fifty papers on building modelling and renewable systems and recently edited and co-authored the book â€˜Advances in Ground Source Heat Pumpsâ€™.",
She received her M.D. at UNMC where she also completed pediatric residency and pediatric infectious disease fellowship. During fellowship began investigating the neonatal immune response to cerebrospinal fluid shunt infections. Through this research and her clinical experience she has become passionate about improving diagnostic techniques for cerebrospinal fluid shunt infections. Dr. Skarâ€™s work centers on developing novel diagnostic biomarkers for cerebrospinal fluid shunt infections.,
"His filmography is impossible to view in a vacuum, as his work strives to reflect on the constantly evolving cinema culture that surrounds it: Godard always works with the newest filmmaking technologies available, and his films have become increasingly abstracted and opaque as the wider culture of moving images has become increasingly fragmented. Rather than working to maintain an illusion of diegetic truth, Godardâ€™s work as always foreground its status as a manufactured productâ€”of technology, of an industry, of on-set conditions and of an individualâ€™s imagination. MUBIâ€™S Godard retrospective exemplifies the depth and range of Godardâ€™s career as its progressed from the early 60s to the 2000s.",
"His design studios focus on the potential of the contemporary urban and industrial landscape of Seattle, while his history and theory offerings study the connection between architectural modernity and the culture of western colonialism in contemporary Africa and the Middle East. He is also the Director of the History and Theory research stream of the Master of Science in Architecture degree program, for which he teaches the Research Practicum.",
Her research targets the origins of the heaviest elements and neutrino and nuclear physics aspects of element synthesis in extreme astrophsyical environments.,
"His books include Psychology in the Bathroom, Introduction to Personality and Intelligence, Yearning to Breathe Free: Seeking Asylum in Australia, and Introduction to the Taxometric Method.",
"While no longer in the classroom, Michael is still in education working primarily in the field of curriculum adaptation for Independence Science, which is based at Purdue Universityâ€™s Research Park. Michaelâ€™s intent for this blog is to be a free resource to a wide group of students. Michael earned a Bachelor of Science degree in Biological Science, with a minor in Chemistry from Florida State University, which he attended back when the Seminoles fielded a championship-caliber football team.",
"Her career as an editor and reporter has been at weekly newspapers across the region since 1991. Murphy is a graduate of Central Michigan University in Mount Pleasant, Michigan, with a degree in Broadcast Journalism and Political Science.",
Ms. Larsen teaches 10th and 11th grade English and has a genuine love for her students. One of her talents as a teacher is her ability to make learning fun but also effective. Ms. Larsen focuses a lot of energy on reading and tries to help her students develop a love of good books. Her students always learn a lot. One thing that sets Ms. Larsen apart is her focus on preparing her students for the huge change from high school to college.,
"Dr. Basta researchs institutional management of difference in multinational states. Most of his work examines the origins and impact of federal institutions in ethnically complex societies. For the past five years, he has been a member of the SSHRC-funded Ethnicity and Democratic Governance project.",
"Her chapbook, Self-Portrait with Housewife, was selected by Gail Wronsky as the winner of the 2017 Clockwise Chapbook Competition and is forthcoming from Tebot Bach Press. Her work has appeared in Crab Fat Magazine, Glass: A Journal of Poetry, Spillway, The Shallow Ends, Whale Road Review, and elsewhere. Jennifer holds an MFA from Pacific University and in the winters she teaches skating in a hockey school.",
"Anthony has been a licensed airman since he was 17 years old and has recently been working on obtaining his rotorcraft endorsement. His nearly lifelong infatuation with aviation has culminated in a dedication to assist those within the aviation community and foster a better outreach to those who arenâ€™t. In that, Anthony represents pilots, mechanics, aviation businesses, air traffic controllers, airports, passengers, drone operators and the like before the Federal Aviation Administration, the National Transportation Safety Board, and in a multitude of other settings. Beyond that, however, Anthony is honored to represent victims and their families in aviation accident litigation.",
Producing work that represents the personality of people and places wherever he photographs. Willl is also available to work for clients or on commission; his versatile set of skills allow him to always produce a polished final product to meet the clientâ€™s needs.,
"She has been the recipient of grants and fellowships from the Social Science Research Council, the National Science Foundation, and the Ford Foundation. Her interests include ethnic entrepreneurship, racial and ethnic relations, intersectionality, Latino/a sociology and economic sociology. Her research examines how social group formations rooted in race, class, gender, nativity, and the like, affect the social and economic life chances of American workers and entrepreneurs.",
"Licensed with the College of Psychologists of New Brunswick (CPNB) since 2003, he maintains a private practice in Moncton, New Brunswick Canada. GaÃ«tan has worked with adults facing a range of challenges including;",
"She recently answered some questions about her new book, Muncie, India(na): Middletown and Asian America. Q. Muncie, Indiana is well-known for being the site of the famous Middletown Studies, â€¦ Continue reading â†’",
"He is a painter to have pursued through his life on the variation of the light and the color to vary as the time and the season passes.Mone lived the longest life among the painters belongs to impressionism.He remains many masterpieces like a seires of a water lily.Although Renoir,Sezanne,Gauguin and so on leaves a sect of impressionism later, Mone continued to pursue the drawing way of Impressionism.A man born in the constellation Scorpio has the strong Karma to continue to pursue a specific theme he likes through all his life.",
"He completed his Ph.D. at York University in 2000 and, after teaching on the west coast at the University of Victoria, returned to join the School of Womenâ€™s Studies at York University in July 2006. His research focuses on sexuality, gender, anti-racist whiteness, and feminist cultural studies. In particular, his work looks at the intersections of masculinity, embodiment, and sexuality in the fields of transsexual/transgender studies, queer theory, and cultural studies.",
"Dr. Farouk's training includes a residency program at Ohio State University Medical Center. His areas of expertise include the following: thoracic outlet syndrome, ankle brachial index (ABI), and heart problems. He is in-network for several insurance carriers, including Humana HMO, Humana Bronze, and Humana Catastrophic. In addition to English, Dr. Farouk speaks Arabic. His hospital/clinic affiliations include Nationwide Children's Hospital, Memorial Health System, and Ohio State University (OSU) Wexner Medical Center.",
"Previously, he was a Network Engineer at Deutsche Telekom. He has spent over a decade working on data center networking including IP multicast environments for IPTV. He has a PhD in Physics and is looking for open source based software solutions and a generic SDN solution to be used by many environments requiring complex real time networks.",
"In addition to his interest in the history of the English language, he does work in the study of meaning (semantics/pragmatics) and applied linguistics as it pertains to preparing individuals to become teachers of English as a second language.",
"She is a certified Empowerment workshop trainer, has additional training in breath, anatomy and movement with Leslie Kaminoff and Amy Matthews, and has studied with Mindful Schools. Abby has many years of experience in working with typically developing children, as well as children who have special needs in grades K-12. Her passion is to empower children and to support parents in empowering their children. She is featured in GoNoodleâ€™s Empower Tools videos.",
"She has exhibited at the Walker Art Center, Tehran Museum of Contemporary Art, Minnesota Historical Society and many other institutions nationally. Nikpay is the recipient of numerous awards for her work from the Jerome and McKnight foundations as well as the Minnesota State Arts Board. Her innovative educational projects with immigrant youth have received support from both the McKnight and St. Paul foundations.",
