Name,Experience_Years,Skills,Education,Applied_Job_Role
Candidate_0,1,"Node.js, MongoDB",BCA,Data Scientist
Candidate_1,7,"JavaScript, React",B.Com,Product Manager
Candidate_2,4,"Angular, TypeScript",BCA,Frontend Developer
Candidate_3,0,"Excel, Admin",M.Tech,Backend Developer
Candidate_4,15,"Angular, TypeScript",B.Com,DevOps Engineer
Candidate_5,10,"AWS, DevOps",MBA,Frontend Developer
Candidate_6,8,"Java, Spring",BCA,Product Manager
Candidate_7,12,"C++, IoT",B.Sc in IT,Frontend Developer
Candidate_8,3,"JavaScript, React",MBA,DevOps Engineer
Candidate_9,2,"PHP, Laravel",B.Com,Virtual Assistant
Candidate_10,10,"Java, Spring",Diploma in CS,Data Scientist
Candidate_11,6,"R, Statistics",B.Com,DevOps Engineer
Candidate_12,2,"Angular, TypeScript",MBA,Frontend Developer
Candidate_13,3,"AWS, DevOps",B.Tech in CS,Embedded Engineer
Candidate_14,3,"R, Statistics",MCA,Frontend Developer
Candidate_15,1,"PHP, Laravel",MBA,Data Scientist
Candidate_16,0,"Python, SQL, ML",MBA,Backend Developer
Candidate_17,11,"Python, SQL, ML",Diploma in CS,DevOps Engineer
Candidate_18,13,"Node.js, MongoDB",BCA,Frontend Developer
Candidate_19,0,"Angular, TypeScript",B.Sc in IT,Product Manager
Candidate_20,0,"C++, IoT",MBA,Product Manager
Candidate_21,0,"JavaScript, React",MBA,DevOps Engineer
Candidate_22,4,"Angular, TypeScript",B.Tech in CS,Embedded Engineer
Candidate_23,11,"Node.js, MongoDB",BCA,Product Manager
Candidate_24,7,"Python, SQL, ML",B.Com,Virtual Assistant
Candidate_25,15,"AWS, DevOps",MCA,Data Analyst
Candidate_26,2,"Excel, Admin",BCA,Data Analyst
Candidate_27,8,"R, Statistics",MBA,Virtual Assistant
Candidate_28,12,"C++, IoT",B.Com,Product Manager
Candidate_29,13,"C++, IoT",B.Tech in CS,Embedded Engineer
Candidate_30,0,"Excel, Admin",B.Com,DevOps Engineer
Candidate_31,4,"Excel, Admin",MBA,Backend Developer
Candidate_32,15,"JavaScript, React",MBA,Product Manager
Candidate_33,2,"Java, Spring",B.Com,DevOps Engineer
Candidate_34,10,"Node.js, MongoDB",B.Tech in CS,Frontend Developer
Candidate_35,12,"Python, SQL, ML",B.Tech in CS,Virtual Assistant
Candidate_36,13,"C++, IoT",MBA,Data Scientist
Candidate_37,4,"Java, Spring",MCA,Frontend Developer
Candidate_38,14,"Excel, Admin",M.Tech,Data Analyst
Candidate_39,10,"JavaScript, React",MBA,Frontend Developer
Candidate_40,14,"R, Statistics",Diploma in CS,DevOps Engineer
Candidate_41,4,"C++, IoT",MBA,Virtual Assistant
Candidate_42,9,"C++, IoT",BCA,Product Manager
Candidate_43,2,"JavaScript, React",B.Tech in CS,Virtual Assistant
Candidate_44,5,"PHP, Laravel",Diploma in CS,Backend Developer
Candidate_45,8,"Angular, TypeScript",B.Tech in CS,Frontend Developer
Candidate_46,5,"Excel, Admin",B.Com,Backend Developer
Candidate_47,6,"Angular, TypeScript",Diploma in CS,Frontend Developer
Candidate_48,13,"Excel, Admin",MCA,Frontend Developer
Candidate_49,10,"Python, SQL, ML",M.Tech,Virtual Assistant
Candidate_50,4,"Angular, TypeScript",MCA,Data Scientist
Candidate_51,7,"AWS, DevOps",BCA,Data Analyst
Candidate_52,1,"AWS, DevOps",B.Sc in IT,DevOps Engineer
Candidate_53,3,"Python, SQL, ML",B.Com,Product Manager
Candidate_54,3,"Excel, Admin",BCA,Embedded Engineer
Candidate_55,0,"Java, Spring",BCA,Product Manager
Candidate_56,1,"C++, IoT",BCA,Frontend Developer
Candidate_57,15,"Java, Spring",MBA,Product Manager
Candidate_58,2,"Python, SQL, ML",B.Com,Embedded Engineer
Candidate_59,6,"Node.js, MongoDB",B.Tech in CS,Data Analyst
Candidate_60,12,"Node.js, MongoDB",Diploma in CS,Product Manager
Candidate_61,7,"Node.js, MongoDB",B.Com,Frontend Developer
Candidate_62,7,"Angular, TypeScript",B.Sc in IT,Data Scientist
Candidate_63,10,"Python, SQL, ML",B.Sc in IT,DevOps Engineer
Candidate_64,9,"Angular, TypeScript",B.Com,Backend Developer
Candidate_65,4,"Node.js, MongoDB",M.Tech,Frontend Developer
Candidate_66,14,"AWS, DevOps",MBA,Data Analyst
Candidate_67,10,"R, Statistics",BCA,Data Analyst
Candidate_68,8,"AWS, DevOps",B.Com,Embedded Engineer
Candidate_69,1,"C++, IoT",B.Tech in CS,Data Scientist
Candidate_70,8,"C++, IoT",B.Tech in CS,Embedded Engineer
Candidate_71,13,"Java, Spring",MBA,Frontend Developer
Candidate_72,3,"R, Statistics",MCA,Embedded Engineer
Candidate_73,11,"Node.js, MongoDB",B.Sc in IT,Backend Developer
Candidate_74,9,"Java, Spring",B.Com,Virtual Assistant
Candidate_75,6,"JavaScript, React",Diploma in CS,Data Analyst
Candidate_76,14,"Java, Spring",B.Tech in CS,DevOps Engineer
Candidate_77,14,"Python, SQL, ML",BCA,Backend Developer
Candidate_78,15,"PHP, Laravel",MBA,Backend Developer
Candidate_79,13,"R, Statistics",MCA,Virtual Assistant
Candidate_80,13,"Java, Spring",Diploma in CS,Product Manager
Candidate_81,0,"Python, SQL, ML",MCA,Product Manager
Candidate_82,15,"JavaScript, React",B.Com,Frontend Developer
Candidate_83,4,"R, Statistics",B.Tech in CS,Product Manager
Candidate_84,8,"Angular, TypeScript",B.Tech in CS,Data Scientist
Candidate_85,13,"Excel, Admin",B.Tech in CS,Virtual Assistant
Candidate_86,8,"AWS, DevOps",B.Sc in IT,Data Scientist
Candidate_87,1,"Excel, Admin",MBA,Frontend Developer
Candidate_88,11,"AWS, DevOps",B.Sc in IT,Virtual Assistant
Candidate_89,7,"Java, Spring",MBA,Data Scientist
Candidate_90,2,"Python, SQL, ML",B.Tech in CS,DevOps Engineer
Candidate_91,8,"PHP, Laravel",BCA,DevOps Engineer
